sale_date,store_name,pilot,direction,gain_rev,gain_rgm
2026-07-01,Cidco Nashik,0,increased,532.53,490.1922163841659
2026-07-01,Colaba,1,decreased,10.159999999999997,55.537441456251045
2026-07-01,Colaba,1,flat,-39.22,-61.596195723971576
2026-07-01,Colaba,1,increased,690.8199999999999,659.7647829361595
2026-07-01,Dadar East,0,decreased,20.0,32.443784123387026
2026-07-01,Dadar East,0,flat,-276.7599999999998,-211.8118626306012
2026-07-01,Dadar East,0,increased,931.8800000000001,897.8834817996184
2026-07-01,Dahisar,0,decreased,17.0,23.417791735589446
2026-07-01,Dahisar,0,flat,40.01000000000015,-78.19735315084031
2026-07-01,Dahisar,0,increased,1932.36,1916.4259569978813
2026-07-01,Dattnagar,0,decreased,-82.5,-67.71754489657398
2026-07-01,Dattnagar,0,flat,-33.64000000000004,-65.09927490725298
2026-07-01,Dattnagar,0,increased,1095.6399999999999,1068.5020931321617
2026-07-01,Dhanakwadi,0,decreased,152.66000000000003,67.72664448844495
2026-07-01,Dhanakwadi,0,flat,-591.5599999999996,-690.7408617726612
2026-07-01,Dhanakwadi,0,increased,1356.6,1376.1889403304347
2026-07-01,Dhanori Pune,0,decreased,41.900000000000006,60.12414352446285
2026-07-01,Dhanori Pune,0,flat,392.72,64.47918396643746
2026-07-01,Dhanori Pune,0,increased,716.66,762.9147725311045
2026-07-01,Dhayari Pune,0,decreased,70.28,74.58380224553642
2026-07-01,Dhayari Pune,0,flat,-31.929999999999968,-406.07051370601323
2026-07-01,Dhayari Pune,0,increased,919.69,907.9005717010791
2026-07-01,Dighi Pune,1,decreased,184.68,345.2972321390373
2026-07-01,Dighi Pune,1,flat,32.35,9.799170421039616
2026-07-01,Dighi Pune,1,increased,581.27,399.4348481059845
2026-07-01,Dombivali,0,decreased,40.55999999999999,71.69508368833485
2026-07-01,Dombivali,0,flat,-2.229999999999933,87.94854891481413
2026-07-01,Dombivali,0,increased,1632.5300000000002,1641.2673336255066
2026-07-01,Dombivali - Navpada,0,decreased,-108.82,-43.75527424471046
2026-07-01,Dombivali - Navpada,0,flat,-146.86999999999992,-137.8797417621768
2026-07-01,Dombivali - Navpada,0,increased,739.1800000000001,724.0653563993543
2026-07-01,Dombivali - Reti Bunder,0,decreased,40.28,38.14719052502631
2026-07-01,Dombivali - Reti Bunder,0,flat,16.93,-111.60410294093633
2026-07-01,Dombivali - Reti Bunder,0,increased,922.48,893.705941376468
2026-07-01,Dombivli West,0,decreased,90.02000000000001,101.60520005852558
2026-07-01,Dombivli West,0,flat,-84.71999999999997,-29.536140010141686
2026-07-01,Dombivli West,0,increased,1924.01,1941.4245062147868
2026-07-01,Evershine Nagar,0,decreased,24.039999999999985,24.306579414914424
2026-07-01,Evershine Nagar,0,flat,-96.47999999999999,-26.126342923752972
2026-07-01,Evershine Nagar,0,increased,1288.43,1251.1161862710305
2026-07-01,Fam Society - Koperkhairne,0,decreased,206.45,210.23459299348872
2026-07-01,Fam Society - Koperkhairne,0,flat,-167.27000000000007,-20.901104463429178
2026-07-01,Fam Society - Koperkhairne,0,increased,2204.96,2202.6217850746243
2026-07-01,Fursungi Pune,0,decreased,-42.349999999999966,53.31515256766082
2026-07-01,Fursungi Pune,0,flat,-101.79000000000005,-21.690048265717156
2026-07-01,Fursungi Pune,0,increased,829.0600000000001,796.7365221071326
2026-07-01,Ghansoli,0,decreased,112.31999999999998,109.48209481004908
2026-07-01,Ghansoli,0,flat,-224.21999999999994,175.0188119508892
2026-07-01,Ghansoli,0,increased,2067.8999999999996,2112.3155135126735
2026-07-01,Ghatkopar East,0,decreased,78.67,82.68144901638357
2026-07-01,Ghatkopar East,0,flat,-64.99999999999996,-291.4824326741896
2026-07-01,Ghatkopar East,0,increased,1400.0800000000004,1582.7671369069253
2026-07-01,Ghatkopar West,0,decreased,14.45,27.572099958116688
2026-07-01,Ghatkopar West,0,flat,-85.56999999999994,-126.62484197564544
2026-07-01,Ghatkopar West,0,increased,1268.58,1243.517188019809
2026-07-01,Ghodapdeo - Byculla,0,decreased,7.800000000000011,19.70485317215114
2026-07-01,Ghodapdeo - Byculla,0,flat,-75.45000000000005,-152.83829202609755
2026-07-01,Ghodapdeo - Byculla,0,increased,972.9000000000001,949.3036634259043
2026-07-01,Global City Virar West,0,decreased,36.84,37.09235400268663
2026-07-01,Global City Virar West,0,flat,-162.98999999999998,-21.107646060727525
2026-07-01,Global City Virar West,0,increased,682.7800000000001,676.8800149068436
2026-07-01,Goregaon,1,decreased,42.39999999999998,64.17486656906159
2026-07-01,Goregaon,1,flat,-342.05999999999983,-398.5592696383656
2026-07-01,Goregaon,1,increased,3344.5,3388.006087236056
2026-07-01,Goregaon West S.V. Road,1,decreased,-37.400000000000034,72.91239781284305
2026-07-01,Goregaon West S.V. Road,1,flat,-189.08999999999963,-197.61558341405006
2026-07-01,Goregaon West S.V. Road,1,increased,1385.3200000000002,1283.7384582741577
2026-07-01,Govandi,0,decreased,157.07000000000002,151.57035396858453
2026-07-01,Govandi,0,flat,15.609999999999928,80.42675357018088
2026-07-01,Govandi,0,increased,2498.81,2446.8190162557144
2026-07-01,Gujrat Colony Kothrud,0,decreased,-204.79999999999967,-43.94733589850776
2026-07-01,Gujrat Colony Kothrud,0,flat,164.59000000000012,10.804044440224217
2026-07-01,Gujrat Colony Kothrud,0,increased,469.84000000000003,512.5932983771222
2026-07-01,Gulab Nagar Pune,0,decreased,-102.9200000000001,-286.1426521127954
2026-07-01,Gulab Nagar Pune,0,flat,-31.560000000000045,37.22663928244155
2026-07-01,Gulab Nagar Pune,0,increased,1056.93,1114.5030794586587
2026-07-01,Hari Om Nagar,0,decreased,4.96999999999997,23.87215359030653
2026-07-01,Hari Om Nagar,0,flat,211.8400000000001,229.82562226214998
2026-07-01,Hari Om Nagar,0,increased,1382.8899999999999,1385.5218291588167
2026-07-01,Hiltron Ulhasnagar,0,decreased,33.09,56.37035359124532
2026-07-01,Hiltron Ulhasnagar,0,flat,-69.00000000000007,-85.4989449952974
2026-07-01,Hiltron Ulhasnagar,0,increased,645.27,611.6007067439384
2026-07-01,Hiranandani Thane,0,decreased,50.62000000000003,70.83961046745983
2026-07-01,Hiranandani Thane,0,flat,-723.4500000000003,-242.87597670054308
2026-07-01,Hiranandani Thane,0,increased,3260.05,3109.414907798531
2026-07-01,IC Colony Borivali,0,decreased,166.79999999999998,132.28239565871303
2026-07-01,IC Colony Borivali,0,flat,78.35999999999997,168.26446205405153
2026-07-01,IC Colony Borivali,0,increased,3000.56,3001.5943898860273
2026-07-01,JB Nagar,0,decreased,2.32000000000005,36.66657124681013
2026-07-01,JB Nagar,0,flat,-162.2500000000001,42.22291439929683
2026-07-01,JB Nagar,0,increased,2288.29,2128.205661158078
2026-07-01,JJ Hospital,0,decreased,32.679999999999865,172.64858182607915
2026-07-01,JJ Hospital,0,flat,-129.0899999999999,-102.67257998097716
2026-07-01,JJ Hospital,0,increased,3127.2,3182.5292345179932
2026-07-01,Jagruti Nagar Ghatkopar,0,decreased,167.43,164.62563288265878
2026-07-01,Jagruti Nagar Ghatkopar,0,flat,-4.319999999999929,0.5137449749369978
2026-07-01,Jagruti Nagar Ghatkopar,0,increased,722.49,691.4047169325657
2026-07-01,Jail Road Nashik,0,decreased,62.0,51.08503819444499
2026-07-01,Jail Road Nashik,0,flat,40.7,-187.0552424148734
2026-07-01,Jail Road Nashik,0,increased,736.7800000000001,595.7422606418725
2026-07-01,Jay VIjay Nagar Nalasopara East,0,decreased,14.960000000000036,-72.73374865422392
2026-07-01,Jay VIjay Nagar Nalasopara East,0,flat,-165.16999999999996,-175.05149943537162
2026-07-01,Jay VIjay Nagar Nalasopara East,0,increased,387.09999999999997,389.0540522842755
2026-07-01,Kalamboli,0,decreased,24.0,23.424814260851285
2026-07-01,Kalamboli,0,flat,-211.38000000000014,-115.41375621359992
2026-07-01,Kalamboli,0,increased,1213.95,888.5746186392145
2026-07-01,Kalher Bhiwandi,0,decreased,102.0,113.25996553160986
2026-07-01,Kalher Bhiwandi,0,flat,-141.43999999999994,-160.21191111575232
2026-07-01,Kalher Bhiwandi,0,increased,1155.83,1063.8344316719924
2026-07-01,Kalina,0,decreased,-5.350000000000001,-19.491614525511366
2026-07-01,Kalina,0,flat,179.45000000000022,-49.574305832310614
2026-07-01,Kalina,0,increased,1565.49,1133.44227817686
2026-07-01,Kalwa,0,decreased,183.04000000000002,195.50267712050908
2026-07-01,Kalwa,0,flat,-59.38000000000009,-77.80708221068204
2026-07-01,Kalwa,0,increased,4695.49,4721.928177668158
2026-07-01,Kalyan,0,decreased,75.0,92.07367291384658
2026-07-01,Kalyan,0,flat,-38.59000000000001,-84.55742148318008
2026-07-01,Kalyan,0,increased,1034.72,986.7640702610473
2026-07-01,Kalyan - DB Chowk,0,decreased,46.55000000000001,82.85300927713564
2026-07-01,Kalyan - DB Chowk,0,flat,-40.89000000000005,-60.99035426749666
2026-07-01,Kalyan - DB Chowk,0,increased,851.49,857.6756783072973
2026-07-01,Kalyan East-Tisgaon Naka,0,decreased,-43.3,27.238583726678385
2026-07-01,Kalyan East-Tisgaon Naka,0,flat,-75.51999999999998,-70.7405784551275
2026-07-01,Kalyan East-Tisgaon Naka,0,increased,1032.97,1023.7987533994435
2026-07-01,Kalyan West Club Road,0,decreased,13.300000000000015,40.67141964715677
2026-07-01,Kalyan West Club Road,0,flat,-61.8899999999999,12.850275644385274
2026-07-01,Kalyan West Club Road,0,increased,1289.95,1244.7283056225663
2026-07-01,Kamotha,0,decreased,64.82999999999998,8.35971171505119
2026-07-01,Kamotha,0,flat,-412.50999999999976,-77.32630316999224
2026-07-01,Kamotha,0,increased,2331.83,2250.519760942278
2026-07-01,Kamothe - Sector 36,0,decreased,40.0,15.195421516088672
