window,store_name,pilot,revenue,cogs
pre,Mulund Panch Rasta,0,886524.88,510665.6214
pre,Mulund West,0,1564731.86,828164.3277
pre,Mulund West-Sarvodaya Nagar,0,1768154.78,1091289.3656
pre,Mundhwa Pune,0,668775.85,452906.3171
pre,NIBM Kondwa,0,1522532.27,933678.3803
pre,Nahur West,0,1371553.92,875715.2496
pre,Nalasopara - Yashwant Nagar,0,788775.17,529682.3043
pre,Nalasopara West,0,890241.64,564514.3588
pre,Narhe Pune,0,658500.46,437663.3308
pre,Naupada,0,1879288.52,1160628.9634
pre,Navare Nagar Ambernath,0,963592.94,645450.1558
pre,Navi Peth Pune,0,1206619.42,828024.3588
pre,Navjeevan Mumbai Central,0,1417351.12,842254.6221
pre,Nerul East,0,1461814.55,899322.6755
pre,Nerul West,0,1349564.58,798416.1149
pre,New Panvel,0,1676534.22,1092836.2683
pre,Old Panvel,0,1518126.72,996568.3208
pre,Palegaon Ambernath,0,618852.44,397907.9608
pre,Panchpakhadi,0,1422390.04,940077.6205
pre,Pantnagar,0,898635.66,545685.1018
pre,Panvel - Uran Naka,0,840140.64,526654.3999
pre,Phadke Road - Dombivali,0,1054107.45,645178.7155
pre,Pimple Gurav,0,790438.28,497110.5849
pre,Prabhadevi,0,1385083.89,778770.0193
pre,Pragati Nagar Nalasopara East,0,828292.46,562670.2651
pre,Rajawadi,0,1326779.86,722938.0354
pre,Roadpali Kalamboli,0,846210.87,536634.6849
pre,Rupee Nagar Pune,0,520442.94,354931.5669
pre,Saibaba Nagar,0,884648.75,503459.7371
pre,Sakinaka - Pipeline Road,0,718337.75,463640.8674
pre,Sanpada,1,2251212.49,1409151.628
pre,Santa Cruz SV Road,0,1203414.98,760628.5652
pre,"Santoshi Mata Road, Kalyan West",0,1337744.43,914240.9778
pre,Sasane Nagar Pune,1,750091.49,509907.8755
pre,Seawoods,0,1710941.37,1038800.5587
pre,Sector 3 - New Panvel,0,1382231.58,970359.0211
pre,Shanti Nagar Mira Road,0,616987.75,363587.4648
